1,97974,Some when,682,62
2,36615,Loss whole,841,6
3,3666,Also,146,43
4,53742,Note family,940,55
5,2558,Generation,113,36
6,5925,Water,964,34
7,72424,Present,726,67
8,18323,Memory,788,1
9,8648,Door yard,905,16
10,66445,Race end,219,61
11,88387,Work,213,41
12,79203,Front not,917,54
13,58830,Watch their,131,60
14,1050,Tell garden,755,30
15,87190,Often,365,78
16,61915,Speak,246,73
17,88949,Television,853,60
18,50288,Difference,500,30
19,44107,Although,304,67
20,23198,Decide,768,97
21,45217,Dark last,438,10
22,98947,Mouth,302,94
23,95404,Positive,476,97
24,83171,Anything,514,85
25,10091,Summer stay,599,49
26,48211,Woman ball,959,18
27,68738,Office,508,46
28,7772,Put radio,181,73
29,65324,Natural,922,13
30,70534,Well else,308,92
31,17375,Reason,720,58
32,62286,Section,905,93
33,51552,Big free,481,21
34,90266,Apply,918,45
35,25834,Source,615,63
36,91073,Many,704,72
37,96457,Reason her,911,65
38,50196,Three,508,83
39,64687,Role best,122,38
40,66273,Drop degree,378,94
41,73471,Sure,780,3
42,24399,Poor though,655,66
43,36786,Common,326,60
44,65497,Which its,921,79
45,5433,Represent,358,12
46,77784,Commercial,1002,97
47,10779,Walk man,740,92
48,22338,Throughout,612,87
49,68236,Affect past,720,94
50,83638,As eat,296,33
51,15258,Against,569,27
52,88642,Heart unit,629,3
53,70063,Fine wear,939,75
54,19407,Team ten,397,60
55,9454,Player,745,7
56,93404,Blood,162,45
57,61390,Heart task,741,47
58,26719,Management,349,74
59,29247,Take,678,31
60,18573,Significant,727,18
61,51772,Man much,359,56
62,57271,Economy,811,58
63,49032,Fire,283,84
64,46483,Live cause,866,87
65,75275,That join,422,13
66,73936,Direction,470,62
67,84012,Federal,623,19
68,87286,Structure,984,32
69,75568,Run we,630,87
70,57275,Language,598,39
71,60865,West create,198,75
72,57688,Leg behind,362,36
73,50030,Store,126,47
74,49172,Movement,727,52
75,58912,Of make two,1003,32
76,80444,Happen,588,44
77,99823,Condition,134,46
78,35589,Employee,985,92
79,21422,Although,155,47
80,87699,Player,883,77
81,96662,Whatever,135,25
82,8825,Involve,923,16
83,76308,By space,183,78
84,71894,Rest,588,48
85,16777,Understand,842,40
86,64107,Actually,799,99
87,1143,Base it,614,51
88,80813,Never,269,6
89,5794,Main order,539,32
90,51020,Nothing,176,19
91,42923,Information,366,1
92,87135,High police,848,90
93,35197,May,736,31
94,59718,School cut,309,77
95,17835,Radio claim,777,49
96,42887,Occur even,297,32
97,63923,Senior,997,88
98,1107,Soon,107,54
99,99422,Soldier,560,5
100,69314,Pull play,287,73
101,78638,Country,902,24
102,64175,Produce,267,76
103,46115,Nothing,846,65
104,22117,Have gun,171,41
105,32330,A today,695,4
106,2953,Issue,692,55
107,50445,Lead hard,838,94
108,59375,Surface,260,84
109,74621,Focus one,817,92
110,34984,Piece alone,106,57
111,34845,Official,696,98
112,23086,Wrong why,173,9
113,64318,Former,993,39
114,54989,Stage such,593,33
115,64013,Win woman,487,50
116,31107,Story yeah,784,69
117,50011,Key eight,716,38
118,2570,Last hold,440,80
119,81919,Still job,310,15
120,78059,Ask,925,34
121,55784,Down coach,821,59
122,50948,Each,449,32
123,94103,All scene,979,9
124,26944,List item,729,24
125,89819,Item mind,556,84
126,4680,Above,553,43
127,41735,Cost let,598,9
128,11755,Surface,832,95
129,80539,Local read,256,59
130,55862,Offer total,513,71
131,14373,South,769,84
132,24671,Economy,927,39
133,21561,List appear,643,8
134,59772,Main they,533,74
135,87602,Service,693,46
136,14890,Suddenly us,755,38
137,53685,Occur,461,29
138,98457,He ready,589,34
139,71540,Rate sing,324,87
140,15140,Which feel,108,33
141,22103,During,815,16
142,86191,Quite,685,12
143,18864,Action work,936,50
144,11256,Bed,619,10
145,96695,Capital,958,14
146,87010,Month,845,10
147,29897,They answer,601,25
148,32216,Industry,483,71
149,69594,Theory,545,100
150,89630,Attorney,510,68
151,28450,Onto today,530,36
152,49823,Program,725,36
153,71926,Executive,991,45
154,37346,Too issue,542,83
155,50451,Test film,810,89
156,17777,Traditional,873,10
157,63722,Station go,729,23
158,76386,Performance,328,86
159,84959,Too speech,929,35
160,77731,Think,688,57
161,37066,Participant,993,3
162,55559,See world,577,19
163,55664,Foot space,572,40
164,5695,Seven base,125,23
165,88396,Into,924,15
166,68418,Again about,281,84
167,6442,Film father,275,3
168,96220,Lay since,709,30
169,66513,Lose,885,84
170,92086,So reveal,169,6
171,56448,Plan north,289,56
172,42432,Safe,324,41
173,16888,Letter,539,17
174,3885,Measure,725,62
175,48947,Firm write,862,94
176,39988,Factor cost,754,64
177,22881,Trial,666,97
178,83837,Wish light,695,17
179,8672,Mind ten,819,81
180,29943,Region who,750,49
181,82117,Center give,785,62
182,55236,Should,247,24
